발생년도,경찰서,소계,살인,강도,절도,폭력
2020,충북음성서,836,0,2,261,573
2020,충북제천서,1003,3,3,373,624
2020,충북진천서,703,1,0,233,469
2020,충북청주청원서,2685,2,5,997,1681
2020,충북청주흥덕서,2869,2,2,1228,1637
2020,충북충주서,1668,4,3,790,871
2020,충북청주상당서,2162,1,2,986,1173
2020,충남천안서북서,3362,6,8,1544,1804
2020,충남천안동남서,2544,2,6,1322,1214
2020,충남서산서,1511,2,1,589,919
2020,충남아산서,3096,7,15,1201,1873
2020,충남논산서,1098,5,1,483,609
2020,충남공주서,744,1,0,277,466
2020,충남보령서,798,2,2,316,478
2020,충남당진서,1299,3,3,525,768
2020,충남홍성서,683,0,1,328,354
2020,충남예산서,591,1,0,297,293
2020,충남부여서,450,2,0,242,206
2020,충남서천서,315,1,0,134,180
2020,충남금산서,299,1,1,119,178
2020,충남청양서,149,0,1,68,80
2020,충남태안서,427,2,1,178,246
2020,전북고창서,396,1,0,139,256
2020,전북군산서,2532,3,2,1014,1513
2020,전북김제서,640,4,0,216,420
2020,전북남원서,559,3,4,208,344
2020,전북무주서,125,0,0,51,74
2020,전북부안서,348,0,1,127,220
2020,전북순창서,145,0,1,57,87
2020,전북완주서,508,3,0,189,316
2020,전북익산서,2497,4,0,1081,1412
2020,전북임실서,109,0,0,36,73
2020,전북장수서,97,0,0,29,68
2020,전북전주덕진서,2490,5,5,1077,1403
2020,전북전주완산서,2798,3,5,1114,1676
2020,전북정읍서,903,4,1,358,540
2020,전북진안서,104,3,0,48,53
2020,전남목포서,2829,0,5,1108,1716
2020,전남여수서,2342,6,4,850,1482
2020,전남순천서,2392,4,0,909,1479
2020,전남나주서,882,3,2,415,462
2020,전남광양서,1142,2,1,407,732
2020,전남고흥서,471,0,0,161,310
2020,전남해남서,483,3,0,173,307
2020,전남장흥서,354,1,0,122,231
2020,전남보성서,249,1,1,101,146
2020,전남영광서,383,3,0,138,242
2020,전남화순서,363,1,0,151,211
2020,전남함평서,212,1,0,87,124
2020,전남영암서,477,1,0,219,257
2020,전남장성서,259,1,0,117,141
2020,전남강진서,308,0,0,117,191
2020,전남담양서,265,3,0,107,155
2020,전남곡성서,131,0,0,53,78
2020,전남완도서,468,0,0,161,307
2020,전남무안서,572,0,1,278,293
2020,전남진도서,252,1,0,96,155
2020,전남구례서,180,1,0,68,111
2020,경북경주서,1995,2,1,885,1107
2020,경북포항북부서,2090,4,2,800,1284
2020,경북포항남부서,2263,3,4,1152,1104
2020,경북구미서,3592,4,5,1788,1795
2020,경북경산서,2380,1,0,1016,1363
2020,경북안동서,1526,4,1,443,1078
2020,경북김천서,1309,1,0,432,876
2020,경북영주서,644,1,1,216,426
2020,경북영천서,924,3,0,380,541
2020,경북상주서,712,1,1,342,368
2020,경북문경서,472,0,0,166,306
2020,경북칠곡서,863,2,1,344,516
2020,경북의성서,322,0,0,111,211
2020,경북청도서,293,0,0,83,210
2020,경북영덕서,355,1,0,157,197
2020,경북울진서,312,1,0,91,220
2020,경북봉화서,156,0,0,39,117
2020,경북예천서,295,1,0,88,206
2020,경북성주서,283,0,1,89,193
2020,경북청송서,237,1,0,74,162
2020,경북영양서,117,0,0,41,76
2020,경북군위서,132,0,0,53,79
2020,경북고령서,197,0,0,74,123
2020,경북울릉서,40,0,0,7,33
2020,경남창원중부서,2189,3,2,971,1213
2020,경남창원서부서,2107,3,8,955,1141
2020,경남마산중부서,1287,3,2,521,761
2020,경남마산동부서,2181,5,2,845,1329
2020,경남진주서,3956,5,8,2051,1892
2020,경남김해중부서,3274,6,3,1548,1717
2020,경남김해서부서,1948,7,1,893,1047
2020,경남양산서,3010,6,7,1340,1657
2020,경남거제서,2310,9,0,828,1473
2020,경남진해서,1372,3,2,609,758
